Employee ID,Name,Email ID,Designation,Phone Number,Address,Education,Skills,YoE,Gender
E146,Stanley Rogers,stanleyr20@example.net,Data Analyst,2499856984,Mendezbury,B.Tech,"SQL, GenAI, NLP, Java",24,Female
E147,,josephba61@example.net,,man,Port Shannonville,,"NLP, SQL, Python",2,Male
E148,Robin Reeves,robinree85@example.com,Data Analyst,1656049451,Hernandezfort,M.Tech,"AI, GenAI, Java, Cloud",24,Non-binary
E149,Stacey Huber,staceyhu89@example.com,,0940244550,Ericaport,M.Tech,"SQL, Python, NLP, Java",12,Prefer not to say
E150,Kristy Anderson,kristyan82@example.com,Data Scientist,,Mendezbury,MBA,"AI, GenAI, ML",9,Prefer not to say
E151,Vanessa Palmer,vanessap86@example.org,Data Scientist,3244510762,Ericaport,MBA,"NLP, Java",13,Male
E152,Ashley Murphy,ashleymu83@example.net,,,Walkerbury,B.Sc,"GenAI, ML",9,Non-binary
E153,Kristy Anderson,kristyan77@example.com,AI Intern,5523124329,Ericaport,,Cloud,14,Prefer not to say
E154,Jane Smith,janesmit51@example.com,Software Engineer,1774490581,Lake David,MBA,"Java, Python, Cloud, NLP",2,Prefer not to say
E155,John Doe,johndoe15@example.net,Data Analyst,5978207151,Ericaport,B.Sc,"Python, AI",11,Non-binary
E156,,marissac86@example.org,,1518644925,Lake James,B.Tech,"NLP, Cloud",12,Female
E157,Ashley Murphy,ashleymu52@example.org,,8168505423,Port Shannonville,MBA,"AI, SQL",25,Male
E158,John Doe,johndoe14@example.com,Software Engineer,9296222927,Ryanfort,MBA,"AI, Python, ML",14,Female
,Vanessa Palmer,vanessap34@example.net,,7746886239,Ericaport,MCA,Python,3,Male
E160,Kristy Anderson,kristyan28@example.net,Data Scientist,3750606853,Walkerbury,B.Sc,"AI, Java, Cloud",20,Non-binary
E161,Kenneth Zimmerman,kennethz70@example.com,AI Intern,7790104328,,B.Sc,"AI, Cloud, Java",10+,Prefer not to say
E162,Stanley Rogers,contain,Data Analyst,2460953962,Lake James,B.Tech,"SQL, ML, GenAI",17,Male
E163,Stanley Rogers,stanleyr57@example.net,,cultural,Port Shannonville,M.Tech,,10,Female
E164,Thomas Sutton,thomassu33@example.org,Data Scientist,7043030548,Walkerbury,B.Tech,,1,Non-binary
E165,Robin Reeves,robinree66@example.net,Software Engineer,7758416169,Ericaport,B.Tech,"NLP, Java, GenAI",14,Prefer not to say
E166,,military,Data Analyst,4016582029,Mendezbury,B.Sc,"SQL, Python",12,Male
E167,Thomas Sutton,thomassu19@example.com,AI Intern,6543102786,Lake James,MCA,"Python, SQL, ML",15,Female
E168,Ashley Murphy,ashleymu66@example.org,,5518844225,Hernandezfort,B.Sc,"Cloud, SQL",,Non-binary
E169,John Doe,johndoe18@example.net,ML Engineer,7866912517,Mendezbury,,"Cloud, GenAI, ML",4,Prefer not to say
E170,,carolqui48@example.org,,3584143842,Lake David,B.Tech,Cloud,5,Non-binary
E171,Jane Smith,janesmit20@example.org,,4396907844,Mendezbury,M.Tech,"ML, AI, Java, NLP",14,Female
E172,Kenneth Zimmerman,kennethz54@example.net,AI Intern,8815371473,Ericaport,B.Sc,ML,13,Female
E173,Kristy Anderson,kristyan50@example.org,AI Intern,8774701687,Hernandezfort,M.Tech,"Java, Python, Cloud",20,Prefer not to say
E174,Meghan Bradford,meghanbr43@example.com,Software Engineer,5060983584,Lake James,MBA,"ML, GenAI, Python, NLP",12,Non-binary
E175,Mark Blackwell,markblac28@example.org,Data Analyst,8000257872,Ericaport,MCA,"Cloud, AI, ML",10,Prefer not to say
,Vanessa Palmer,military,,6940974993,Ryanfort,B.Tech,"Cloud, ML, NLP, GenAI",21,Female
ERR_ID,Lisa Smith,lisasmit63@example.org,,6897028385,Mendezbury,B.Tech,"NLP, SQL, AI, ML",24,Non-binary
E178,Eric Little,ericlitt48@example.org,Software Engineer,3757584419,Walkerbury,MBA,"Cloud, Python, Java",11,Prefer not to say
E179,Stanley Rogers,stanleyr44@example.com,,1993308330,Lake James,MBA,"Python, Java, NLP",,Female
E180,Stanley Rogers,stanleyr46@example.net,Software Engineer,1938026206,Mendezbury,M.Tech,"Java, Python, Cloud",10,Non-binary
E181,John Doe,johndoe27@example.com,ML Engineer,1527420549,Hernandezfort,M.Tech,"GenAI, ML, Cloud, Java",4,Prefer not to say
E182,12345_Invalid,12345_in67@example.net,Software Engineer,9045301742,Walkerbury,,,4,Prefer not to say
E183,Alex Rivera,alexrive70@example.com,,3918785191,Ryanfort,B.Tech,"Cloud, SQL",3,Female
E184,Stanley Rogers,stanleyr17@example.net,AI Intern,7908740640,Hernandezfort,B.Tech,Java,17,Male
E185,Ashley Murphy,ashleymu46@example.net,AI Intern,6567661825,Lake James,M.Tech,"Cloud, NLP, SQL, Java",14,Prefer not to say
E186,Joseph Barr,josephba45@example.org,,0690331190,Mendezbury,B.Tech,AI,7,Female
E187,Carol Quinn,carolqui39@example.com,Data Analyst,9534283644,Ryanfort,B.Tech,"GenAI, ML",20,Prefer not to say
E188,Mark Blackwell,markblac48@example.net,AI Intern,7334270866,Ericaport,MBA,,14,Non-binary
E189,Eric Little,ericlitt87@example.com,Data Scientist,3983735403,Hernandezfort,,Python,22,Female
E190,,josephba58@example.net,Data Analyst,4458771753,Port Shannonville,MCA,,10+,Non-binary
E191,Mark Blackwell,markblac41@example.net,Data Analyst,5477725228,Mendezbury,M.Tech,Java,21,Male
E192,Stacey Huber,staceyhu18@example.com,AI Intern,good,Mendezbury,MCA,Python,,Prefer not to say
999,,monicaro74@example.com,,2118233984,Port Shannonville,MCA,"SQL, Cloud, AI, NLP",7,Non-binary
E194,Ashley Murphy,ashleymu14@example.org,,8700217659,Lake James,B.Tech,AI,18,Prefer not to say
E195,Ashley Murphy,ashleymu79@example.com,,staff,Ryanfort,,"GenAI, Java",18,Prefer not to say
E196,John Doe,johndoe27@example.com,,N/A,Port Shannonville,B.Sc,GenAI,19,Prefer not to say
E197,12345_Invalid,,,6629619431,Lake James,MCA,"GenAI, NLP",12,Non-binary
E198,12345_Invalid,12345_in56@example.net,Data Scientist,2678886101,Port Shannonville,B.Tech,NLP,,Prefer not to say
E199,Ashley Murphy,ashleymu41@example.com,Data Analyst,6224447212,Walkerbury,MCA,"ML, AI, Java, Cloud",20,Prefer not to say
E200,,ericlitt10@example.net,Software Engineer,6575692459,Hernandezfort,MBA,"Cloud, AI, Python",15,Female
,Monica Rodriguez MD,monicaro24@example.com,AI Intern,8280737416,,M.Tech,"AI, Cloud, NLP",12,Male
E202,Alex Rivera,alexrive74@example.com,ML Engineer,5891135290,Walkerbury,MCA,"SQL, Java, GenAI, Cloud",17,Female
E203,Marissa Campbell,marissac98@example.com,AI Intern,0714611254,Port Shannonville,MBA,"Python, Cloud",22,Prefer not to say
E204,Vanessa Palmer,vanessap12@example.net,,2382825867,Hernandezfort,MBA,"Cloud, NLP",23,Female
E205,Stacey Huber,staceyhu36@example.net,,1918255371,Lake David,,"NLP, ML, AI, GenAI",11,Prefer not to say
E206,Vanessa Palmer,vanessap96@example.org,Software Engineer,4125286692,Walkerbury,MBA,"Python, NLP",5,Female
E207,Kenneth Zimmerman,kennethz89@example.org,Software Engineer,7236887676,Mendezbury,MBA,"SQL, ML",-1,Non-binary
E00A,John Doe,johndoe82@example.com,ML Engineer,1914858078,Hernandezfort,MBA,AI,14,Non-binary
E209,Ashley Murphy,ashleymu40@example.org,,5962923309,Port Shannonville,B.Tech,"Cloud, Python, NLP",16,Male
E210,Stacey Huber,staceyhu93@example.org,,3253672946,Walkerbury,MBA,SQL,22,Non-binary
E211,Stanley Rogers,noemail,Data Scientist,7518636374,Port Shannonville,MCA,"Cloud, ML, AI",24,Male
ERR_ID,12345_Invalid,12345_in30@example.net,ML Engineer,man,Hernandezfort,,"ML, SQL",,Non-binary
E213,Robin Reeves,robinree16@example.net,,3611037129,Hernandezfort,B.Tech,"Java, Python, NLP, Cloud",13,Female
E214,Joseph Barr,josephba23@example.org,Software Engineer,4262218909,Ericaport,MBA,,21,Prefer not to say
E215,Ashley Murphy,ashleymu25@example.com,,6523413899,Lake David,,ML,6,Prefer not to say
E216,Carol Quinn,carolqui40@example.net,ML Engineer,7918055269,Walkerbury,MCA,"Python, GenAI",0,Non-binary
E217,Carol Quinn,carolqui46@example.com,,6661889241,Lake David,B.Sc,"Cloud, ML",24,Male
E218,Stacey Huber,staceyhu17@example.org,Data Scientist,1799042102,Ryanfort,M.Tech,"NLP, ML, GenAI, Cloud",24,Non-binary
E219,Lisa Smith,capital,Software Engineer,4917785079,Ericaport,MCA,"ML, GenAI",23,Male
E220,12345_Invalid,12345_in11@example.org,Data Scientist,6220863536,Port Shannonville,MCA,NLP,1,Female
E221,Christopher Ferguson,christop18@example.net,Software Engineer,4518705349,Lake David,,"Python, Cloud",24,Female
E222,John Doe,,Data Scientist,5050641383,Walkerbury,MBA,Cloud,7,Prefer not to say
E223,Robin Reeves,robinree84@example.org,Data Analyst,6199062344,Port Shannonville,,"NLP, AI, Cloud",4,Male
E224,Kristy Anderson,kristyan25@example.com,Software Engineer,3747411249,Ryanfort,M.Tech,"Cloud, Java, NLP",16,Male
E225,Monica Rodriguez MD,monicaro61@example.net,Data Analyst,3171210032,Hernandezfort,MBA,"SQL, ML, GenAI",0,Male
E226,Thomas Sutton,military,Data Scientist,man,Ryanfort,M.Tech,"GenAI, AI, Java, Python",6,Female
E227,Thomas Sutton,contain,Data Analyst,4768701462,Walkerbury,M.Tech,"Java, AI",,Prefer not to say
E228,Jane Smith,janesmit33@example.org,Software Engineer,0407859321,Hernandezfort,,"ML, Python",1,Female
E229,Marissa Campbell,marissac32@example.org,AI Intern,5905992937,Lake David,M.Tech,"Java, Python, GenAI, SQL",,Prefer not to say
999,Eric Little,,Data Scientist,good,Ericaport,B.Sc,"SQL, Cloud, NLP",3,Non-binary
E231,Kenneth Zimmerman,kennethz65@example.com,ML Engineer,2895392644,Ericaport,M.Tech,GenAI,18,Male
E232,Mark Blackwell,markblac38@example.com,Data Analyst,7251355215,Mendezbury,B.Sc,"AI, SQL, NLP",3,Male
E00i,Stacey Huber,staceyhu73@example.net,Software Engineer,1793271040,Port Shannonville,MCA,SQL,5,Male
E234,Ashley Murphy,ashleymu71@example.com,Data Scientist,2962015336,Lake David,,"ML, SQL, Java",10+,
E235,Meghan Bradford,meghanbr94@example.com,Data Analyst,1032417146,Mendezbury,MBA,"SQL, NLP, ML",12,Non-binary
,Carol Quinn,carolqui38@example.net,Data Analyst,N/A,Lake James,B.Sc,"GenAI, Python, ML",12,Prefer not to say
E237,Stanley Rogers,stanleyr48@example.org,ML Engineer,0898992172,Ericaport,,"Cloud, Java",13,Female
E238,Kenneth Zimmerman,kennethz18@example.org,ML Engineer,8548709986,Lake James,MBA,"Cloud, ML",3,Male
,Lisa Smith,lisasmit54@example.net,Software Engineer,7997024629,Walkerbury,B.Sc,"NLP, Python, SQL, Java",11,Male
E240,Vanessa Palmer,vanessap99@example.com,Data Scientist,3247546913,Mendezbury,M.Tech,"Python, GenAI, ML, Cloud",5,Male
E241,Christopher Ferguson,christop77@example.com,Data Scientist,3030705345,Mendezbury,,"SQL, NLP, Java, Python",5,Prefer not to say
E242,Robin Reeves,robinree43@example.com,,cultural,Walkerbury,B.Sc,"AI, GenAI",6,Non-binary
E243,12345_Invalid,12345_in97@example.org,ML Engineer,2903494466,Port Shannonville,MBA,"AI, Python, Cloud",12,Male
ERR_ID,Robin Reeves,robinree46@example.net,,1545444328,Hernandezfort,B.Sc,"NLP, Python, SQL, Java",8,Prefer not to say
E245,Carol Quinn,carolqui34@example.net,,8758428241,Mendezbury,M.Tech,"Cloud, NLP, Python",7,Non-binary
E246,Mark Blackwell,markblac69@example.org,ML Engineer,N/A,Lake James,MBA,"SQL, GenAI",13,Male
E247,Kenneth Zimmerman,kennethz62@example.com,ML Engineer,2175250074,Hernandezfort,M.Tech,"Python, GenAI",19,Prefer not to say
E248,Marissa Campbell,marissac10@example.org,Data Analyst,,Lake David,M.Tech,GenAI,2,Male
E249,Vanessa Palmer,vanessap77@example.net,,2575326033,Ericaport,,Cloud,25,Male
E250,Monica Rodriguez MD,monicaro86@example.org,,0016761847,Ericaport,M.Tech,ML,16,Non-binary
E251,Kenneth Zimmerman,kennethz75@example.com,Data Analyst,1173934835,Walkerbury,MCA,"Java, ML",15,Non-binary
E252,Meghan Bradford,meghanbr83@example.com,ML Engineer,1811437447,Ryanfort,B.Sc,"Java, GenAI",10,Prefer not to say
E253,Lisa Smith,lisasmit11@example.org,,5579415521,Walkerbury,MBA,"ML, GenAI, AI, NLP",25,Female
E254,Carol Quinn,carolqui23@example.net,Data Analyst,9729659027,Mendezbury,B.Sc,"Python, Java, GenAI, Cloud",,Female
E255,Mark Blackwell,markblac89@example.org,ML Engineer,3756289002,Mendezbury,MBA,"SQL, GenAI",8,Male
E256,John Doe,johndoe40@example.org,ML Engineer,9717751701,Walkerbury,MBA,Java,19,
E257,John Doe,johndoe53@example.net,Data Scientist,7589975711,,B.Sc,"NLP, GenAI, Python",16,Non-binary
E258,Carol Quinn,carolqui62@example.org,Software Engineer,3163735160,Lake James,MBA,"Cloud, AI, Java, ML",13,Prefer not to say
E259,Kristy Anderson,kristyan26@example.org,ML Engineer,9586693465,,MBA,"Cloud, AI",16,
E260,John Doe,johndoe80@example.com,AI Intern,9452288515,Mendezbury,B.Tech,"ML, GenAI, AI, Java",,Female
E261,Carol Quinn,carolqui30@example.net,,0438057198,Hernandezfort,,"AI, ML, NLP, Cloud",,Prefer not to say
E262,Mark Blackwell,noemail,Software Engineer,,Ericaport,,Cloud,3,Prefer not to say
E00r,John Doe,johndoe42@example.org,Software Engineer,2025909479,Port Shannonville,B.Sc,"AI, SQL, ML",13,Prefer not to say
E264,Joseph Barr,josephba52@example.net,Software Engineer,9878015739,Hernandezfort,B.Sc,"GenAI, Python, Java",9,Male
E265,Robin Reeves,robinree72@example.org,Software Engineer,3581128801,Hernandezfort,,"GenAI, Python",22,Prefer not to say
E266,Ashley Murphy,ashleymu68@example.com,Software Engineer,cultural,Ryanfort,M.Tech,"SQL, ML, Python",14,Prefer not to say
E267,Meghan Bradford,meghanbr10@example.com,,9015814491,Lake David,MBA,"GenAI, Python, NLP, Java",4,Prefer not to say
E268,John Doe,johndoe48@example.com,,0882100996,Lake James,MCA,"NLP, SQL",16,Female
E269,Joseph Barr,josephba24@example.org,,0878141413,Mendezbury,MCA,"Cloud, NLP, GenAI",2,Female
E270,Thomas Sutton,thomassu98@example.com,AI Intern,5562053364,Port Shannonville,M.Tech,"Python, AI, GenAI",17,Male
E271,Alex Rivera,alexrive27@example.com,AI Intern,1108099693,,B.Tech,"Python, NLP, SQL",24,Non-binary
E272,,christop74@example.org,,9282722992,Mendezbury,MCA,AI,8,
E273,Eric Little,ericlitt59@example.net,ML Engineer,0518449892,,,"NLP, ML, Python, Java",7,Prefer not to say
,Robin Reeves,robinree87@example.org,Data Analyst,7231843222,Port Shannonville,B.Tech,AI,3,
E275,Stanley Rogers,stanleyr62@example.org,AI Intern,good,Ericaport,M.Tech,Cloud,5,Prefer not to say
E276,Jane Smith,,Data Scientist,9772369292,Lake David,M.Tech,"Python, ML, GenAI",4,Male
999,Christopher Ferguson,christop87@example.org,AI Intern,9908811729,Ryanfort,,"GenAI, Cloud, Java, ML",15,Prefer not to say
E278,Jane Smith,,Data Scientist,8643009818,Ryanfort,MBA,"NLP, AI",20,
E279,John Doe,johndoe45@example.com,ML Engineer,6887258874,Lake David,B.Tech,"GenAI, NLP, SQL",23,Female
E280,Kristy Anderson,kristyan53@example.com,Data Analyst,0260127961,Lake James,MCA,"NLP, Java",12,Non-binary
E281,Alex Rivera,alexrive32@example.com,ML Engineer,3843098839,Ericaport,,NLP,,Female
E282,Monica Rodriguez MD,monicaro60@example.net,Data Analyst,0118489554,Hernandezfort,B.Tech,"Python, AI",13,Male
E283,Christopher Ferguson,christop75@example.net,Data Analyst,9476973577,Ryanfort,MBA,ML,7,Female
E284,Stacey Huber,staceyhu11@example.com,Software Engineer,1651827553,Lake David,M.Tech,"Python, NLP",8,Female
E285,Joseph Barr,josephba23@example.org,Data Scientist,7908075957,Lake David,MBA,"ML, AI",1,Prefer not to say
E286,John Doe,johndoe97@example.org,ML Engineer,8750036915,Port Shannonville,B.Tech,"Cloud, ML, Python",19,Non-binary
E287,Stanley Rogers,stanleyr57@example.net,ML Engineer,2929314386,Walkerbury,M.Tech,"Cloud, AI",15,Female
E288,Christopher Ferguson,christop72@example.net,Software Engineer,9061203471,Mendezbury,,"ML, Cloud, GenAI",8,Non-binary
E00L,Robin Reeves,robinree35@example.com,Data Analyst,8245587716,Lake David,MBA,"Cloud, NLP",,Prefer not to say
E290,Ashley Murphy,ashleymu50@example.net,,4964759876,Ericaport,M.Tech,Cloud,23,Male
E291,Marissa Campbell,capital,Data Analyst,man,Lake James,B.Sc,"Cloud, Java, NLP",7,Female
E292,Thomas Sutton,thomassu31@example.org,Data Scientist,5778487282,Mendezbury,,"ML, Cloud, AI, Python",9,Non-binary
E293,Kenneth Zimmerman,society,Software Engineer,8077406493,Ryanfort,,"AI, Python, ML",22,Prefer not to say
E294,Joseph Barr,josephba40@example.com,Data Analyst,4484631224,Lake James,,"Python, Cloud, NLP, ML",4,Male
E295,Meghan Bradford,meghanbr44@example.org,,0312073564,Mendezbury,MCA,"Java, Cloud, Python, SQL",2,Prefer not to say
E296,Monica Rodriguez MD,monicaro25@example.com,,7303718376,Lake David,MCA,"Java, NLP",8,Prefer not to say
E297,Eric Little,noemail,AI Intern,3650249163,Ryanfort,B.Sc,"Cloud, Python, Java, SQL",19,Non-binary
,Carol Quinn,carolqui99@example.com,Data Scientist,3585730652,Lake David,B.Sc,"Python, ML, Cloud, GenAI",5,Non-binary
E299,Thomas Sutton,thomassu80@example.org,Data Scientist,7448570862,Ryanfort,B.Tech,"AI, Cloud, NLP",12,Female
E300,Stanley Rogers,stanleyr46@example.net,ML Engineer,1181022031,Mendezbury,M.Tech,Java,21,Prefer not to say
E301,Jane Smith,janesmit87@example.com,Data Scientist,almost,Mendezbury,B.Sc,"Java, Cloud, ML, AI",1,Non-binary
E302,Ashley Murphy,society,Data Analyst,N/A,Hernandezfort,B.Tech,"AI, SQL, ML, GenAI",17,Prefer not to say
E303,Jane Smith,janesmit95@example.net,Data Scientist,2868528975,Port Shannonville,B.Tech,"NLP, AI, Python",19,Female
E304,Eric Little,ericlitt42@example.net,ML Engineer,6004908240,,M.Tech,"NLP, Java",8,Female
E305,Thomas Sutton,thomassu56@example.com,,4196931572,Mendezbury,,ML,10+,
E306,Mark Blackwell,,AI Intern,9060480589,Ericaport,MCA,"Cloud, Java",14,Male
E307,Vanessa Palmer,vanessap53@example.org,ML Engineer,0864168622,Mendezbury,B.Tech,"Python, AI",19,Female
E308,Monica Rodriguez MD,monicaro83@example.org,Data Scientist,6553559042,Port Shannonville,B.Tech,"Cloud, AI, Java, SQL",24,Male
E309,Carol Quinn,,Data Scientist,1477053833,Lake David,B.Tech,"Cloud, NLP, GenAI, Java",16,Male
,Carol Quinn,carolqui89@example.net,Data Scientist,0164510463,Walkerbury,B.Tech,NLP,2,Female
E311,Thomas Sutton,,,7620555438,Lake David,B.Sc,"GenAI, Python, Java",7,Female
E312,Marissa Campbell,capital,Data Analyst,9363926495,Mendezbury,B.Tech,"AI, NLP",25,Female
E313,,vanessap27@example.net,AI Intern,9251881252,Ryanfort,MCA,"GenAI, Cloud, AI, Python",4,Female
999,Alex Rivera,alexrive39@example.com,AI Intern,0517289752,Walkerbury,MBA,"Cloud, SQL, GenAI, NLP",Five,Non-binary
E315,Joseph Barr,josephba36@example.org,AI Intern,7975736609,Walkerbury,,"GenAI, ML, NLP",20,Male
E316,Thomas Sutton,thomassu41@example.com,Data Analyst,0868034764,Lake David,MBA,"GenAI, Cloud",16,Female
E317,Thomas Sutton,thomassu33@example.com,,6657027937,Lake James,MCA,"Cloud, NLP, GenAI",14,Non-binary
E318,Marissa Campbell,marissac88@example.org,ML Engineer,0259222206,Lake David,MCA,"ML, NLP, SQL, Java",0,Non-binary
E00i,Stanley Rogers,capital,AI Intern,7767199038,Lake David,B.Tech,"Java, SQL",1,Female
E320,Jane Smith,janesmit21@example.org,Data Scientist,2249998279,Port Shannonville,B.Sc,ML,2,Prefer not to say
E321,Ashley Murphy,ashleymu98@example.net,Software Engineer,8339019817,Lake David,MBA,"ML, Python, GenAI",4,Prefer not to say
E322,Stanley Rogers,stanleyr88@example.org,,3010713966,Ryanfort,MCA,"AI, Java, NLP",25,Male
E323,Christopher Ferguson,christop24@example.com,,9902355770,Ericaport,MBA,"Python, GenAI",25,Prefer not to say
E324,Carol Quinn,carolqui96@example.net,Data Analyst,3955124056,Ericaport,B.Tech,"Cloud, ML, Java, Python",1,Non-binary
E325,Stanley Rogers,stanleyr48@example.org,Data Analyst,1503178078,Ericaport,M.Tech,"Python, NLP, ML",24,Male
E326,Christopher Ferguson,christop14@example.net,ML Engineer,8104091570,Lake James,B.Tech,"Java, ML, Cloud",6,Female
E327,John Doe,johndoe25@example.net,AI Intern,1098813858,Port Shannonville,MCA,"ML, Python",19,Non-binary
E328,Carol Quinn,carolqui96@example.org,Data Scientist,1662997954,Port Shannonville,M.Tech,Python,25,Prefer not to say
E329,Vanessa Palmer,vanessap69@example.net,AI Intern,2945625577,Ryanfort,B.Sc,"SQL, Cloud, AI, NLP",11,Female
E330,Marissa Campbell,marissac51@example.com,,staff,Mendezbury,MBA,"AI, ML, SQL, GenAI",2,Non-binary
E331,Jane Smith,janesmit82@example.net,Data Analyst,2197199758,Lake James,MBA,"ML, AI",19,Prefer not to say
E332,Carol Quinn,carolqui84@example.com,Data Scientist,2784699733,Port Shannonville,MCA,"GenAI, NLP, Cloud",19,Prefer not to say
E333,,vanessap16@example.org,,5140369656,Walkerbury,MBA,"AI, NLP, SQL, Python",11,Prefer not to say
E334,Kenneth Zimmerman,choice,AI Intern,7621267969,Ericaport,MBA,"Python, AI, Cloud, SQL",18,Prefer not to say
,Joseph Barr,josephba79@example.com,Software Engineer,cultural,Mendezbury,,"SQL, ML, AI",23,Non-binary
E336,Ashley Murphy,ashleymu41@example.net,,1894905807,Mendezbury,B.Tech,"NLP, AI, Cloud, Python",,Non-binary
